sentence1|sentence2|label
日照经济技术开发区市场监督管理局2019年生产流通领域质量安全抽检服务项目公开招标公告|临沂经济技术开发区市场监督管理局2019年食品安全监督抽检项目中标公示|0
临沭县石门镇初级中学公租房公共厕所及教师公寓楼附属设施采购项目公开招标公告|临沭县石门镇初级中学公租房公共厕所及教师公寓楼附属设施采购项目采购合同公示|1
临沭县石门镇初级中学公租房公共厕所及教师公寓楼附属设施采购项目公开招标公告|临沭县石门镇初级中学公租房公共厕所及教师公寓楼附属设施采购项目合同公示|1
国电大武口热电有限公司灰场道路山体滑坡治理详勘、施工图设计项目招标公告|国电大武口热电有限公司灰场道路山体滑坡治理详勘、施工图设计中标结果公告|1
东丰县大阳镇区基础设施建设项目|东丰县大阳镇区基础设施建设项目（一标段）中标结果公告|1
广西龙建工程管理有限公司关于档案整理及数字化项目建设采购竞争性磋商公告|浙江中际工程项目管理有限公司关于衢江区住建局城建档案数字化及整理项目（二次）的中标(成交)结果公告|0
450J夏比摆锤冲击试验机采购项目国际招标公告(1)|450J夏比摆锤冲击试验机采购项目中标结果公告(1)|1
国电浙江北仑第三发电有限公司7号机组C修项目招标|国电浙江北仑第三发电有限公司7号机组C修中标结果公告|1
国电电力大连庄河发电有限责任公司脱硫石膏处置（三年）项目|国电电力大连庄河发电有限责任公司脱硫石膏处置（三年）中标候选人公示|1
大黑山至马塘输气管道项目临时用地土地复垦施工招标公告|大黑山至马塘输气管道项目临时用地土地复垦施工招标中标结果公告|1
固阳县金山镇2019年农村人居环境综合整治项目采购公告|尖草坪区农村人居环境综合整治示范村建设项目总承包（003标段）中标结果公示|0
2019双喜中端产品市场适应性调研项目（第二次）招标公告 （招标编号：0724-1900D87N1956）|2019双喜中端产品市场适应性调研项目（第二次）|1
华能鹤岗发电有限公司2019年度土建零星工程招标公告|华能鹤岗发电有限公司2019年度土建零星工程|1
靖宇县那尔轰镇“因户施策”贝母种植项目|靖宇县景山镇2019年“因户施策”贝母种植项目采购合同|1
青铜峡市邵岗镇“组组通”硬化道路工程青铜峡市邵岗镇“组组通”道路硬化项目|[吴忠市]青铜峡市邵岗镇“组组通”硬化道路工程中标候选人公示[中标候选人公示]|1
屯昌县生态环境局-屯昌县区域空间生态环境评价暨“三线一单”编制工作采购-公开招标公告|东方市区域空间生态环境评价暨“三线一单”编制工作中标公告|0
国电电力大连庄河发电有限责任公司电梯、起重机械设备维修保养服务（三年）项目招标公告|国电电力大连庄河发电有限责任公司电梯、起重机械设备维修保养服务（三年）中标结果公告|1
济南市市中区农村饮水安全建设项目（一期）|济南市市中区农村饮水安全建设项目（一期）中标结果公告|1
聘请外部法律顾问采购询价项目非招标公告|聘请法律顾问项目竞争性磋商成交公告|1
华能大庆热电有限公司2019年度大宗物资采购（盐酸）|华能大庆热电有限公司2019年度大宗物资采购（液碱）|1
云南电网有限责任公司2019年第二批生产项目所需其他物资专项采购(公开招标部分）(第二次招标)招标公告|云南电网有限责任公司2019年第二批生产项目所需其他物资专项采购（公开竞争性谈判部分）结果公告|1
[]打印复印一体机（GY201903526）采购公告|打印复印一体机采购|1
忻府区政府采购网上商城|忻府区政府采购网上商城采购合同|1
襄阳工务段2019年工务维修四新采购项目招标公告|信阳工务段2019年工务维修四新产品采购项目单一来源谈判采购结 果 公 示|0
日土县2019年农村饮用水安全巩固提升工程|宁武县农村饮水安全巩固提升工程化北屯乡陈半沟村提水工程（土建部分）成交公告|0
日土县2019年农村饮用水安全巩固提升工程|宁武县农村饮水安全巩固提升工程化北屯乡陈半沟村提水工程（土建部分）成交公告|0
中国铁塔股份有限公司松原市分公司2019年门禁维修采购项目|中国铁塔股份有限公司伊春市分公司2019年空调维修采购项目|0
东华大学织物风格仪国际招标公告(1)|东华大学织物风格仪中标结果公告(1)|1
中国建设银行股份有限公司吉林省分行建行吉林省分行选取招标代理机构项目公开招标公告|中国建设银行股份有限公司吉林省分行建行延边分行图们支行装修及加固项目中标公示|0
兴安热电有限责任公司全厂废水综合治理工程招标公告|兴安热电有限责任公司全厂废水综合治理工程|1
